Alpha-3 code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR
BTN,Bhutan,75,19.0,20.4,2.0,46,11.7,12.5,1.2,0.616
VUT,Vanuatu,25,18.9,15.4,2.0,18,14.7,11.1,1.9,0.778
SLV,El Salvador,779,18.9,23.4,1.9,462,11.2,13.9,1.1,0.593
NER,Niger,1246,18.7,9.4,2.0,755,11.5,5.7,1.3,0.615
IDN,Indonesia,31116,18.6,22.1,2.1,15612,9.3,11.1,1.1,0.5
BFA,Burkina Faso,1274,18.5,10.8,2.2,776,11.5,6.6,1.4,0.622
LCA,Saint Lucia,23,18.4,25.3,1.8,11,8.3,12.1,0.96,0.451
NIC,Nicaragua,621,18.1,17.7,1.9,364,10.8,10.4,1.2,0.597
ECU,Ecuador,1967,17.9,21.6,1.8,991,9.0,10.9,0.92,0.503
RUS,Russian Federation,18837,17.8,24.3,1.7,6499,5.1,8.4,0.54,0.287
HND,Honduras,826,17.6,15.4,1.8,495,10.6,9.2,1.1,0.602
STP,Sao Tome and Principe,14,17.4,11.8,2.0,7,9.5,5.9,1.2,0.546
TTO,Trinidad and Tobago,193,17.1,25.3,1.8,112,9.0,14.7,0.92,0.526
UZB,Uzbekistan,3147,17.0,17.5,1.9,1733,9.5,9.6,1.1,0.559
GEO,Georgia,591,17.0,29.1,1.7,214,5.6,10.5,0.61,0.329
TLS,Timor-Leste,88,16.8,12.7,1.8,45,8.6,6.5,0.94,0.512
SRB,Serbia,917,16.8,25.9,1.7,459,6.5,13.0,0.73,0.387
BEN,Benin,714,16.7,9.9,2.0,444,10.5,6.2,1.3,0.629
DOM,Dominican Republic,1121,16.6,19.5,1.8,626,9.2,10.9,1.1,0.554
ARG,Argentina,4679,16.5,20.3,1.7,2662,8.7,11.6,0.9,0.527
CUW,Curaçao,23,16.4,23.7,1.6,12,8.4,12.3,0.77,0.512
LVA,Latvia,234,16.3,23.3,1.6,113,5.0,11.3,0.55,0.307
URY,Uruguay,378,16.3,21.7,1.6,162,5.9,9.3,0.65,0.362
ERI,Eritrea,199,16.1,11.1,1.9,125,10.2,7.0,1.2,0.634
UKR,Ukraine,4850,16.1,23.9,1.6,2058,5.9,10.2,0.64,0.366
BGR,Bulgaria,844,16.0,24.2,1.6,451,6.7,12.9,0.74,0.419
PAN,Panama,436,15.9,19.3,1.5,232,8.1,10.3,0.84,0.509
MNE,Montenegro,69,15.8,20.8,1.4,34,6.1,10.3,0.58,0.386
CPV,Cape Verde,44,15.8,17.1,1.7,29,10.3,11.2,1.1,0.652
BRN,Brunei Darussalam,42,15.7,19.4,1.5,18,6.7,8.3,0.63,0.427
GUF,French Guyana,26,15.6,16.2,1.6,11,6.6,6.9,0.69,0.423
GAB,Gabon,146,15.6,11.7,1.7,88,9.6,7.0,1.1,0.615
GNQ,Equatorial Guinea,99,15.4,11.1,1.7,62,9.8,6.9,1.1,0.636
DJI,Djibouti,80,15.3,13.6,1.8,50,9.5,8.5,1.1,0.621
