Alpha-3 code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR,HDI_country_name,HDI_year,HDI,logASIR,logASMR,HDI_tier
NER,Niger,1246,18.7,9.4,2.0,755,11.5,5.7,1.3,0.615,Niger,2023.0,0.419,2.928523523860541,2.4423470353692043,Low
IDN,Indonesia,31116,18.6,22.1,2.1,15612,9.3,11.1,1.1,0.5,Indonesia,2023.0,0.728,2.9231615807191558,2.2300144001592104,High
BFA,Burkina Faso,1274,18.5,10.8,2.2,776,11.5,6.6,1.4,0.622,Burkina Faso,2023.0,0.459,2.917770732084279,2.4423470353692043,Low
LCA,Saint Lucia,23,18.4,25.3,1.8,11,8.3,12.1,0.96,0.451,Saint Lucia,2023.0,0.748,2.91235066461494,2.1162555148025524,High
NIC,Nicaragua,621,18.1,17.7,1.9,364,10.8,10.4,1.2,0.597,Nicaragua,2023.0,0.706,2.89591193827178,2.379546134130174,High
ECU,Ecuador,1967,17.9,21.6,1.8,991,9.0,10.9,0.92,0.503,Ecuador,2023.0,0.777,2.884800712846709,2.1972245773362196,High
RUS,Russian Federation,18837,17.8,24.3,1.7,6499,5.1,8.4,0.54,0.287,Russia,2023.0,0.832,2.8791984572980396,1.62924053973028,Very High
HND,Honduras,826,17.6,15.4,1.8,495,10.6,9.2,1.1,0.602,Honduras,2023.0,0.645,2.8678989020441064,2.3608540011180215,Medium
STP,Sao Tome and Principe,14,17.4,11.8,2.0,7,9.5,5.9,1.2,0.546,Sao Tome and Principe,2023.0,0.637,2.856470206220483,2.2512917986064953,Medium
TTO,Trinidad and Tobago,193,17.1,25.3,1.8,112,9.0,14.7,0.92,0.526,Trinidad and Tobago,2023.0,0.807,2.8390784635086144,2.1972245773362196,Very High
UZB,Uzbekistan,3147,17.0,17.5,1.9,1733,9.5,9.6,1.1,0.559,Uzbekistan,2023.0,0.74,2.833213344056216,2.2512917986064953,High
GEO,Georgia,591,17.0,29.1,1.7,214,5.6,10.5,0.61,0.329,Georgia,2023.0,0.844,2.833213344056216,1.7227665977411035,Very High
TLS,Timor-Leste,88,16.8,12.7,1.8,45,8.6,6.5,0.94,0.512,East Timor,2023.0,0.634,2.8213788864092133,2.151762203259462,Medium
SRB,Serbia,917,16.8,25.9,1.7,459,6.5,13.0,0.73,0.387,Serbia,2023.0,0.833,2.8213788864092133,1.8718021769015913,Very High
BEN,Benin,714,16.7,9.9,2.0,444,10.5,6.2,1.3,0.629,Benin,2023.0,0.515,2.8154087194227095,2.3513752571634776,Low
DOM,Dominican Republic,1121,16.6,19.5,1.8,626,9.2,10.9,1.1,0.554,Dominican Republic,2023.0,0.776,2.8094026953624978,2.2192034840549946,High
ARG,Argentina,4679,16.5,20.3,1.7,2662,8.7,11.6,0.9,0.527,Argentina,2023.0,0.865,2.803360380906535,2.163323025660538,Very High
